x,y,z,date,designator,x_led,y_led,time_delta,driver_number
948,4636,0,2023-08-27T12:08:17.854000+00:00,U52,920,4804,260,1
1103,5044,0,2023-08-27T12:08:18.114000+00:00,U53,1086,5212,260,1
1117,5082,0,2023-08-27T12:08:18.494000+00:00,U53,1086,5212,380,1
1136,5131,0,2023-08-27T12:08:18.774000+00:00,U53,1086,5212,280,1
1152,5174,0,2023-08-27T12:08:19.214000+00:00,U53,1086,5212,440,1
1161,5197,0,2023-08-27T12:08:19.554000+00:00,U53,1086,5212,340,1
1170,5221,0,2023-08-27T12:08:19.834000+00:00,U53,1086,5212,280,1
1177,5238,0,2023-08-27T12:08:20.134000+00:00,U53,1086,5212,300,1
1181,5250,0,2023-08-27T12:08:20.334000+00:00,U53,1086,5212,200,1
1187,5262,0,2023-08-27T12:08:20.633000+00:00,U53,1086,5212,299,1
1191,5272,0,2023-08-27T12:08:20.814000+00:00,U53,1086,5212,181,1
1197,5285,0,2023-08-27T12:08:21.294000+00:00,U53,1086,5212,480,1
1199,5289,0,2023-08-27T12:08:21.474000+00:00,U53,1086,5212,180,1
1200,5292,0,2023-08-27T12:08:21.614000+00:00,U53,1086,5212,140,1
1202,5295,0,2023-08-27T12:08:21.834000+00:00,U53,1086,5212,220,1
1203,5297,0,2023-08-27T12:08:21.994000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:22.334000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:22.634000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:22.914000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:08:23.314000+00:00,U53,1086,5212,400,1
1204,5299,0,2023-08-27T12:08:23.634000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:23.834000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:24.014000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:24.234000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:24.434000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:24.654000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:24.894000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:25.194000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:25.414000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:25.554000+00:00,U53,1086,5212,140,1
1204,5299,0,2023-08-27T12:08:25.774000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:26.194000+00:00,U53,1086,5212,420,1
1204,5299,0,2023-08-27T12:08:26.414000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:26.634000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:26.894000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:27.074000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:27.253000+00:00,U53,1086,5212,179,1
1204,5299,0,2023-08-27T12:08:27.534000+00:00,U53,1086,5212,281,1
1204,5299,0,2023-08-27T12:08:27.894000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:08:28.094000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:28.254000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:28.674000+00:00,U53,1086,5212,420,1
1204,5299,0,2023-08-27T12:08:29.014000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:29.234000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:29.474000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:29.714000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:30.094000+00:00,U53,1086,5212,380,1
1204,5299,0,2023-08-27T12:08:30.434000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:30.754000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:31.054000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:31.274000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:31.594000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:31.834000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:32.114000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:08:32.354000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:32.534000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:32.714000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:32.974000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:33.134000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:33.334000+00:00,U53,1086,5212,200,1
